Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std3E5_3uL_  Qty or ID	Standard	1	0.0656	22.03	3.00e+005	0.992	-3.436	
A2	01_std3E5_3uL_  Qty or ID	Standard	1	0.0656	22.32	3.00e+005	0.992	-3.436	
A3	01_std3E5_3uL_  Qty or ID	Standard	1	0.0656	22.29	3.00e+005	0.992	-3.436	
B1	02_std3E4_3uL_  Qty or ID	Standard	2	0.0656	26.01	3.00e+004	0.992	-3.436	
B2	02_std3E4_3uL_  Qty or ID	Standard	2	0.0656	25.84	3.00e+004	0.992	-3.436	
B3	02_std3E4_3uL_  Qty or ID	Standard	2	0.0656	25.91	3.00e+004	0.992	-3.436	
C1	03_std3E3_3uL_  Qty or ID	Standard	3	0.0656	29.33	3.00e+003	0.992	-3.436	
C2	03_std3E3_3uL_  Qty or ID	Standard	3	0.0656	29.32	3.00e+003	0.992	-3.436	
C3	03_std3E3_3uL_  Qty or ID	Standard	3	0.0656	29.53	3.00e+003	0.992	-3.436	
D1	04_std3E2_3uL_  Qty or ID	Standard	4	0.0656	32.83	3.00e+002	0.992	-3.436	
D2	04_std3E2_3uL_  Qty or ID	Standard	4	0.0656	33.06	3.00e+002	0.992	-3.436	
D3	04_std3E2_3uL_  Qty or ID	Standard	4	0.0656	32.60	3.00e+002	0.992	-3.436	
E1	05_std3E1_3uL_  Qty or ID	Standard	5	0.0656	36.91	3.00e+001	0.992	-3.436	
E2	05_std3E1_3uL_  Qty or ID	Standard	5	0.0656	36.97	3.00e+001	0.992	-3.436	
E3	05_std3E1_3uL_  Qty or ID	Standard	5	0.0656	36.34	3.00e+001	0.992	-3.436	
F1	06_std3E0_3uL_  Qty or ID	Standard	6	0.0656	40.00	3.00e+000	0.992	-3.436	
F2	06_std3E0_3uL_  Qty or ID	Standard	6	0.0656	39.60	3.00e+000	0.992	-3.436	
F3	06_std3E0_3uL_  Qty or ID	Standard	6	0.0656	40.41	3.00e+000	0.992	-3.436	
G1	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0656	No Ct	No Ct	0.992	-3.436	
G2	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0656	No Ct	No Ct	0.992	-3.436	
G3	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0656	41.13	3.00e-001	0.992	-3.436	
H1	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0656	No Ct	No Ct	0.992	-3.436	
H2	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0656	No Ct	No Ct	0.992	-3.436	
H3	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0656	No Ct	No Ct	0.992	-3.436	
A4	09_MST2021-058 _3uL_  Qty or ID	Unknown	9	0.0656	No Ct	No Ct	0.992	-3.436	
A5	09_MST2021-058 _3uL_  Qty or ID	Unknown	9	0.0656	No Ct	No Ct	0.992	-3.436	
A6	09_MST2021-058 _3uL_  Qty or ID	Unknown	9	0.0656	No Ct	No Ct	0.992	-3.436	
B4	10_MST2021-064 _3uL_  Qty or ID	Unknown	10	0.0656	No Ct	No Ct	0.992	-3.436	
B5	10_MST2021-064 _3uL_  Qty or ID	Unknown	10	0.0656	No Ct	No Ct	0.992	-3.436	
B6	10_MST2021-064 _3uL_  Qty or ID	Unknown	10	0.0656	No Ct	No Ct	0.992	-3.436	
C4	11_MST2021-079 _3uL_  Qty or ID	Unknown	11	0.0656	No Ct	No Ct	0.992	-3.436	
C5	11_MST2021-079 _3uL_  Qty or ID	Unknown	11	0.0656	No Ct	No Ct	0.992	-3.436	
C6	11_MST2021-079 _3uL_  Qty or ID	Unknown	11	0.0656	No Ct	No Ct	0.992	-3.436	
D4	12_MST2021-082 _3uL_  Qty or ID	Unknown	12	0.0656	No Ct	No Ct	0.992	-3.436	
D5	12_MST2021-082 _3uL_  Qty or ID	Unknown	12	0.0656	No Ct	No Ct	0.992	-3.436	
D6	12_MST2021-082 _3uL_  Qty or ID	Unknown	12	0.0656	No Ct	No Ct	0.992	-3.436	
E4	13_MST2021-070 _3uL_  Qty or ID	Unknown	13	0.0656	No Ct	No Ct	0.992	-3.436	
E5	13_MST2021-070 _3uL_  Qty or ID	Unknown	13	0.0656	No Ct	No Ct	0.992	-3.436	
E6	13_MST2021-070 _3uL_  Qty or ID	Unknown	13	0.0656	No Ct	No Ct	0.992	-3.436	
F4	14_MST1043 _3uL_  Qty or ID	Unknown	14	0.0656	No Ct	No Ct	0.992	-3.436	
F5	14_MST1043 _3uL_  Qty or ID	Unknown	14	0.0656	No Ct	No Ct	0.992	-3.436	
F6	14_MST1043 _3uL_  Qty or ID	Unknown	14	0.0656	No Ct	No Ct	0.992	-3.436	
G4	15_MST1024 _3uL_  Qty or ID	Unknown	15	0.0656	No Ct	No Ct	0.992	-3.436	
G5	15_MST1024 _3uL_  Qty or ID	Unknown	15	0.0656	No Ct	No Ct	0.992	-3.436	
G6	15_MST1024 _3uL_  Qty or ID	Unknown	15	0.0656	No Ct	No Ct	0.992	-3.436	
H4	16_MST1031 _3uL_  Qty or ID	Unknown	16	0.0656	No Ct	No Ct	0.992	-3.436	
H5	16_MST1031 _3uL_  Qty or ID	Unknown	16	0.0656	No Ct	No Ct	0.992	-3.436	
H6	16_MST1031 _3uL_  Qty or ID	Unknown	16	0.0656	No Ct	No Ct	0.992	-3.436	
A7	17_MST2021-039 _3uL_  Qty or ID	Unknown	17	0.0656	No Ct	No Ct	0.992	-3.436	
A8	17_MST2021-039 _3uL_  Qty or ID	Unknown	17	0.0656	No Ct	No Ct	0.992	-3.436	
A9	17_MST2021-039 _3uL_  Qty or ID	Unknown	17	0.0656	No Ct	No Ct	0.992	-3.436	
B7	18_MST1054 _3uL_  Qty or ID	Unknown	18	0.0656	No Ct	No Ct	0.992	-3.436	
B8	18_MST1054 _3uL_  Qty or ID	Unknown	18	0.0656	No Ct	No Ct	0.992	-3.436	
B9	18_MST1054 _3uL_  Qty or ID	Unknown	18	0.0656	No Ct	No Ct	0.992	-3.436	
C7	19_MST2021-008 _3uL_  Qty or ID	Unknown	19	0.0656	No Ct	No Ct	0.992	-3.436	
C8	19_MST2021-008 _3uL_  Qty or ID	Unknown	19	0.0656	No Ct	No Ct	0.992	-3.436	
C9	19_MST2021-008 _3uL_  Qty or ID	Unknown	19	0.0656	No Ct	No Ct	0.992	-3.436	
D7	20_MST2021-019 _3uL_  Qty or ID	Unknown	20	0.0656	No Ct	No Ct	0.992	-3.436	
D8	20_MST2021-019 _3uL_  Qty or ID	Unknown	20	0.0656	No Ct	No Ct	0.992	-3.436	
D9	20_MST2021-019 _3uL_  Qty or ID	Unknown	20	0.0656	No Ct	No Ct	0.992	-3.436	
E7	21_MST2021-030 _3uL_  Qty or ID	Unknown	21	0.0656	No Ct	No Ct	0.992	-3.436	
E8	21_MST2021-030 _3uL_  Qty or ID	Unknown	21	0.0656	No Ct	No Ct	0.992	-3.436	
E9	21_MST2021-030 _3uL_  Qty or ID	Unknown	21	0.0656	No Ct	No Ct	0.992	-3.436	
F7	22_MST2021-055 _3uL_  Qty or ID	Unknown	22	0.0656	No Ct	No Ct	0.992	-3.436	
F8	22_MST2021-055 _3uL_  Qty or ID	Unknown	22	0.0656	No Ct	No Ct	0.992	-3.436	
F9	22_MST2021-055 _3uL_  Qty or ID	Unknown	22	0.0656	No Ct	No Ct	0.992	-3.436	
G7	23_MST2021-085 _3uL_  Qty or ID	Unknown	23	0.0656	No Ct	No Ct	0.992	-3.436	
G8	23_MST2021-085 _3uL_  Qty or ID	Unknown	23	0.0656	No Ct	No Ct	0.992	-3.436	
G9	23_MST2021-085 _3uL_  Qty or ID	Unknown	23	0.0656	No Ct	No Ct	0.992	-3.436	
H7	24_MST1038 _3uL_  Qty or ID	Unknown	24	0.0656	No Ct	No Ct	0.992	-3.436	
H8	24_MST1038 _3uL_  Qty or ID	Unknown	24	0.0656	No Ct	No Ct	0.992	-3.436	
H9	24_MST1038 _3uL_  Qty or ID	Unknown	24	0.0656	No Ct	No Ct	0.992	-3.436	
A10	25_MST2021-043 _3uL_  Qty or ID	Unknown	25	0.0656	No Ct	No Ct	0.992	-3.436	
A11	25_MST2021-043 _3uL_  Qty or ID	Unknown	25	0.0656	No Ct	No Ct	0.992	-3.436	
A12	25_MST2021-043 _3uL_  Qty or ID	Unknown	25	0.0656	No Ct	No Ct	0.992	-3.436	
B10	26_MST2021-076 _3uL_  Qty or ID	Unknown	26	0.0656	No Ct	No Ct	0.992	-3.436	
B11	26_MST2021-076 _3uL_  Qty or ID	Unknown	26	0.0656	No Ct	No Ct	0.992	-3.436	
B12	26_MST2021-076 _3uL_  Qty or ID	Unknown	26	0.0656	No Ct	No Ct	0.992	-3.436	
C10	27_MST2021-029 _3uL_  Qty or ID	Unknown	27	0.0656	No Ct	No Ct	0.992	-3.436	
C11	27_MST2021-029 _3uL_  Qty or ID	Unknown	27	0.0656	No Ct	No Ct	0.992	-3.436	
C12	27_MST2021-029 _3uL_  Qty or ID	Unknown	27	0.0656	No Ct	No Ct	0.992	-3.436	
D10	28_MST2021-083 _3uL_  Qty or ID	Unknown	28	0.0656	No Ct	No Ct	0.992	-3.436	
D11	28_MST2021-083 _3uL_  Qty or ID	Unknown	28	0.0656	No Ct	No Ct	0.992	-3.436	
D12	28_MST2021-083 _3uL_  Qty or ID	Unknown	28	0.0656	No Ct	No Ct	0.992	-3.436	
E10	29_MST2021-006 _3uL_  Qty or ID	Unknown	29	0.0656	No Ct	No Ct	0.992	-3.436	
E11	29_MST2021-006 _3uL_  Qty or ID	Unknown	29	0.0656	No Ct	No Ct	0.992	-3.436	
E12	29_MST2021-006 _3uL_  Qty or ID	Unknown	29	0.0656	No Ct	No Ct	0.992	-3.436	
F10	30_MST2021-011 _3uL_  Qty or ID	Unknown	30	0.0656	No Ct	No Ct	0.992	-3.436	
F11	30_MST2021-011 _3uL_  Qty or ID	Unknown	30	0.0656	No Ct	No Ct	0.992	-3.436	
F12	30_MST2021-011 _3uL_  Qty or ID	Unknown	30	0.0656	No Ct	No Ct	0.992	-3.436	
G10	31_MST2021-002 _3uL_  Qty or ID	Unknown	31	0.0656	No Ct	No Ct	0.992	-3.436	
G11	31_MST2021-002 _3uL_  Qty or ID	Unknown	31	0.0656	No Ct	No Ct	0.992	-3.436	
G12	31_MST2021-002 _3uL_  Qty or ID	Unknown	31	0.0656	No Ct	No Ct	0.992	-3.436	
H10	32_MST2021-013 _3uL_  Qty or ID	Unknown	32	0.0656	No Ct	No Ct	0.992	-3.436	
H11	32_MST2021-013 _3uL_  Qty or ID	Unknown	32	0.0656	No Ct	No Ct	0.992	-3.436	
