"","genus_species_aar","MST0047_2018-05-23","MST0050_2018-04-25","MST0055_2018-04-24","MST0059_2018-04-05","MST0061_2018-05-28","MST0063_2018-05-03","MST0064_2018-04-16","MST0067_2018-03-21","MST0070_2018-05-15","MST0071_2018-06-11","MST0074_2018-06-11","MST0076_2018-06-06","MST0080_2018-05-14","MST0088_2018-06-07","MST0092_2018-05-15","MST0097_2018-04-18","MST0100_2018-05-14","MST0107_2018-07-06","MST0115_2018-05-15","MST0126_2018-05-25","MST0132_2018-06-27","MST0152_2018-06-04","MST0223_2018-05-29","MST0229_2018-05-16","MST0230_2018-06-27","MST0280_2018-06-27","MST0284_2018-04-03","MST0286_2018-05-15"
"169","Mnemiopsis leidyi_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'0/3/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'2/0/0/1'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'"
"170","Mya arenaria_2018","'3/0/0/0'","'3/0/0/0'","'0/1/2/0'","'0/0/3/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'1/0/2/0'","'0/3/0/0'","'3/0/0/0'","'0/2/1/0'","'0/0/0/3'","'3/0/0/0'","'0/0/3/0'","'1/1/1/0'","'0/0/3/0'","'2/1/0/0'","'0/0/3/0'","'0/0/3/0'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'1/1/1/0'","'0/0/0/3'","'1/2/0/0'","'0/2/1/0'","'0/1/2/0'"
"171","Neogobius melanostomus_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"172","Oncorhynchus mykiss_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'"
"173","Oncorhyncus gorbuscha_2018","'3/0/0/0'",NA,NA,"'3/0/0/0'","'3/0/0/0'","'3/0/0/0'",NA,NA,"'3/0/0/0'",NA,NA,NA,"'3/0/0/0'",NA,"'3/0/0/0'",NA,"'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'",NA,NA,"'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"174","Paralithodes camtschaticus_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"175","Prorocentrum minimum_2018","'1/0/0/0'","'1/0/0/0'","'1/0/0/0'","'2/0/0/0'","'2/0/0/0'","'2/0/0/0'","'1/0/0/0'","'1/0/0/0'","'2/0/0/0'","'2/0/0/0'","'1/1/0/0'","'2/0/0/0'","'1/0/0/0'","'0/2/0/0'","'2/0/0/0'","'1/0/0/0'","'2/0/0/0'","'0/2/0/0'","'2/0/0/0'","'1/0/0/0'","'2/0/0/0'","'2/0/0/0'","'1/0/0/0'","'1/0/0/0'","'1/0/0/0'","'1/0/0/0'","'1/0/0/0'","'1/0/0/0'"
"177","Pseudochattonella farcimen_2018","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'0/3/0/0'","'0/3/0/0'","'2/1/0/0'","'3/0/0/0'","'1/2/0/0'","'0/2/0/1'","'0/0/0/3'","'1/2/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/3/0/0'","'3/0/0/0'","'3/0/0/0'","'0/3/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'0/0/0/3'","'3/0/0/0'","'0/3/0/0'","'0/3/0/0'","'3/0/0/0'","'0/3/0/0'","'2/1/0/0'"
"178","Pseudochattonella verruculosa_2018","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/3/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'1/2/0/0'"
"179","Rhithropanopeus harrisii_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'1/2/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
