"","genus_species_aar","MST0082_2019-04-03","MST0129_2019-06-28","MST0158_2019-06-25","MST0164_2019-05-13","MST0170_2019-05-14","MST0173_2019-05-21","MST0177_2019-06-04","MST0179_2019-06-11","MST0182_2019-06-12","MST0183_2019-05-23","MST0185_2019-05-22","MST0187_2019-05-10","MST0189_2019-05-28","MST0191_2019-03-22","MST0203_2019-05-08","MST0215_2019-03-22","MST0239_2019-03-12","MST0252_2019-04-29","MST0266_2019-03-07","MST0269_2019-03-12","MST0275_2019-03-21","MST0277_2019-07-08","MST0278_2019-03-14","MST0282_2019-03-14","MST0292_2019-05-27","MST0293_2019-03-07","MST0300_2019-03-21","MST0371_2019-06-28","MST0414_2019-05-14","MST0453_2019-05-09","MST0468_2019-06-27","MST0476_2019-05-23","MST0483_2019-05-01","MST0486_2019-06-12","MST0489_2019-04-02","MST0505_2019-04-02","MST0562_2019-06-12"
"456","Mnemiopsis leidyi_2019","'2/0/1/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/0/1/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'0/0/0/3'","'3/0/0/0'","'1/0/2/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'"
"457","Mya arenaria_2019","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'0/0/3/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'1/0/2/0'","'2/0/1/0'","'2/0/1/0'","'3/0/0/0'","'0/0/3/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'","'0/0/3/0'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'"
"458","Neogobius melanostomus_2019","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/0/1/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"459","Oncorhynchus mykiss_2019","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'1/0/2/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"460","Oncorhyncus gorbuscha_2019","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"461","Paralithodes camtschaticus_2019","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"462","Prorocentrum minimum_2019","'3/0/0/0'","'2/0/1/0'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'0/0/0/3'","'0/1/0/2'","'0/0/3/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'1/1/1/0'","'2/0/1/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/2/0/1'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"463","Pseudochattonella farcimen_2019","'0/0/0/3'","'0/0/1/2'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'0/0/0/3'","'1/0/0/2'","'0/0/0/3'","'2/0/1/0'","'0/0/0/3'","'0/0/0/3'","'2/0/1/0'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'0/0/0/3'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'1/2/0/0'","'0/3/0/0'","'3/0/0/0'","'1/2/0/0'"
"464","Pseudochattonella verruculosa_2019","'0/0/3/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/0/1/0'","'3/0/0/0'","'3/0/0/0'","'1/2/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'0/0/0/3'","'1/0/2/0'","'0/0/3/0'","'1/0/2/0'"
"465","Rhithropanopeus harrisii_2019","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'1/0/2/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
