Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std3E5_3uL_  Qty or ID	Standard	1	0.0701	22.61	3.00e+005	0.989	-3.327	
A2	01_std3E5_3uL_  Qty or ID	Standard	1	0.0701	22.73	3.00e+005	0.989	-3.327	
A3	01_std3E5_3uL_  Qty or ID	Standard	1	0.0701	22.74	3.00e+005	0.989	-3.327	
B1	02_std3E4_3uL_  Qty or ID	Standard	2	0.0701	25.81	3.00e+004	0.989	-3.327	
B2	02_std3E4_3uL_  Qty or ID	Standard	2	0.0701	25.94	3.00e+004	0.989	-3.327	
B3	02_std3E4_3uL_  Qty or ID	Standard	2	0.0701	25.52	3.00e+004	0.989	-3.327	
C1	03_std3E3_3uL_  Qty or ID	Standard	3	0.0701	29.59	3.00e+003	0.989	-3.327	
C2	03_std3E3_3uL_  Qty or ID	Standard	3	0.0701	29.94	3.00e+003	0.989	-3.327	
C3	03_std3E3_3uL_  Qty or ID	Standard	3	0.0701	30.28	3.00e+003	0.989	-3.327	
D1	04_std3E2_3uL_  Qty or ID	Standard	4	0.0701	32.61	3.00e+002	0.989	-3.327	
D2	04_std3E2_3uL_  Qty or ID	Standard	4	0.0701	32.36	3.00e+002	0.989	-3.327	
D3	04_std3E2_3uL_  Qty or ID	Standard	4	0.0701	32.20	3.00e+002	0.989	-3.327	
E1	05_std3E1_3uL_  Qty or ID	Standard	5	0.0701	No Ct	No Ct	0.989	-3.327	
E2	05_std3E1_3uL_  Qty or ID	Standard	5	0.0701	No Ct	No Ct	0.989	-3.327	
E3	05_std3E1_3uL_  Qty or ID	Standard	5	0.0701	No Ct	No Ct	0.989	-3.327	
F1	06_std3E0_3uL_  Qty or ID	Standard	6	0.0701	No Ct	No Ct	0.989	-3.327	
F2	06_std3E0_3uL_  Qty or ID	Standard	6	0.0701	No Ct	No Ct	0.989	-3.327	
F3	06_std3E0_3uL_  Qty or ID	Standard	6	0.0701	No Ct	No Ct	0.989	-3.327	
G1	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0701	No Ct	No Ct	0.989	-3.327	
G2	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0701	No Ct	No Ct	0.989	-3.327	
G3	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0701	No Ct	No Ct	0.989	-3.327	
H1	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0701	No Ct	No Ct	0.989	-3.327	
H2	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0701	No Ct	No Ct	0.989	-3.327	
H3	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0701	No Ct	No Ct	0.989	-3.327	
A4	09_MST2021-058 _3uL_  Qty or ID	Unknown	9	0.0701	No Ct	No Ct	0.989	-3.327	
A5	09_MST2021-058 _3uL_  Qty or ID	Unknown	9	0.0701	No Ct	No Ct	0.989	-3.327	
A6	09_MST2021-058 _3uL_  Qty or ID	Unknown	9	0.0701	No Ct	No Ct	0.989	-3.327	
B4	10_MST2021-064 _3uL_  Qty or ID	Unknown	10	0.0701	No Ct	No Ct	0.989	-3.327	
B5	10_MST2021-064 _3uL_  Qty or ID	Unknown	10	0.0701	No Ct	No Ct	0.989	-3.327	
B6	10_MST2021-064 _3uL_  Qty or ID	Unknown	10	0.0701	No Ct	No Ct	0.989	-3.327	
C4	11_MST2021-079 _3uL_  Qty or ID	Unknown	11	0.0701	No Ct	No Ct	0.989	-3.327	
C5	11_MST2021-079 _3uL_  Qty or ID	Unknown	11	0.0701	No Ct	No Ct	0.989	-3.327	
C6	11_MST2021-079 _3uL_  Qty or ID	Unknown	11	0.0701	No Ct	No Ct	0.989	-3.327	
D4	12_MST2021-082 _3uL_  Qty or ID	Unknown	12	0.0701	No Ct	No Ct	0.989	-3.327	
D5	12_MST2021-082 _3uL_  Qty or ID	Unknown	12	0.0701	No Ct	No Ct	0.989	-3.327	
D6	12_MST2021-082 _3uL_  Qty or ID	Unknown	12	0.0701	No Ct	No Ct	0.989	-3.327	
E4	13_MST2021-070 _3uL_  Qty or ID	Unknown	13	0.0701	No Ct	No Ct	0.989	-3.327	
E5	13_MST2021-070 _3uL_  Qty or ID	Unknown	13	0.0701	No Ct	No Ct	0.989	-3.327	
E6	13_MST2021-070 _3uL_  Qty or ID	Unknown	13	0.0701	No Ct	No Ct	0.989	-3.327	
F4	14_MST1043 _3uL_  Qty or ID	Unknown	14	0.0701	No Ct	No Ct	0.989	-3.327	
F5	14_MST1043 _3uL_  Qty or ID	Unknown	14	0.0701	No Ct	No Ct	0.989	-3.327	
F6	14_MST1043 _3uL_  Qty or ID	Unknown	14	0.0701	No Ct	No Ct	0.989	-3.327	
G4	15_MST1024 _3uL_  Qty or ID	Unknown	15	0.0701	No Ct	No Ct	0.989	-3.327	
G5	15_MST1024 _3uL_  Qty or ID	Unknown	15	0.0701	No Ct	No Ct	0.989	-3.327	
G6	15_MST1024 _3uL_  Qty or ID	Unknown	15	0.0701	No Ct	No Ct	0.989	-3.327	
H4	16_MST1031 _3uL_  Qty or ID	Unknown	16	0.0701	No Ct	No Ct	0.989	-3.327	
H5	16_MST1031 _3uL_  Qty or ID	Unknown	16	0.0701	No Ct	No Ct	0.989	-3.327	
H6	16_MST1031 _3uL_  Qty or ID	Unknown	16	0.0701	No Ct	No Ct	0.989	-3.327	
A7	17_MST2021-039 _3uL_  Qty or ID	Unknown	17	0.0701	No Ct	No Ct	0.989	-3.327	
A8	17_MST2021-039 _3uL_  Qty or ID	Unknown	17	0.0701	No Ct	No Ct	0.989	-3.327	
A9	17_MST2021-039 _3uL_  Qty or ID	Unknown	17	0.0701	No Ct	No Ct	0.989	-3.327	
B7	18_MST1054 _3uL_  Qty or ID	Unknown	18	0.0701	No Ct	No Ct	0.989	-3.327	
B8	18_MST1054 _3uL_  Qty or ID	Unknown	18	0.0701	No Ct	No Ct	0.989	-3.327	
B9	18_MST1054 _3uL_  Qty or ID	Unknown	18	0.0701	No Ct	No Ct	0.989	-3.327	
C7	19_MST2021-008 _3uL_  Qty or ID	Unknown	19	0.0701	No Ct	No Ct	0.989	-3.327	
C8	19_MST2021-008 _3uL_  Qty or ID	Unknown	19	0.0701	No Ct	No Ct	0.989	-3.327	
C9	19_MST2021-008 _3uL_  Qty or ID	Unknown	19	0.0701	No Ct	No Ct	0.989	-3.327	
D7	20_MST2021-019 _3uL_  Qty or ID	Unknown	20	0.0701	No Ct	No Ct	0.989	-3.327	
D8	20_MST2021-019 _3uL_  Qty or ID	Unknown	20	0.0701	No Ct	No Ct	0.989	-3.327	
D9	20_MST2021-019 _3uL_  Qty or ID	Unknown	20	0.0701	No Ct	No Ct	0.989	-3.327	
E7	21_MST2021-030 _3uL_  Qty or ID	Unknown	21	0.0701	No Ct	No Ct	0.989	-3.327	
E8	21_MST2021-030 _3uL_  Qty or ID	Unknown	21	0.0701	No Ct	No Ct	0.989	-3.327	
E9	21_MST2021-030 _3uL_  Qty or ID	Unknown	21	0.0701	No Ct	No Ct	0.989	-3.327	
F7	22_MST2021-055 _3uL_  Qty or ID	Unknown	22	0.0701	No Ct	No Ct	0.989	-3.327	
F8	22_MST2021-055 _3uL_  Qty or ID	Unknown	22	0.0701	No Ct	No Ct	0.989	-3.327	
F9	22_MST2021-055 _3uL_  Qty or ID	Unknown	22	0.0701	No Ct	No Ct	0.989	-3.327	
G7	23_MST2021-085 _3uL_  Qty or ID	Unknown	23	0.0701	No Ct	No Ct	0.989	-3.327	
G8	23_MST2021-085 _3uL_  Qty or ID	Unknown	23	0.0701	No Ct	No Ct	0.989	-3.327	
G9	23_MST2021-085 _3uL_  Qty or ID	Unknown	23	0.0701	No Ct	No Ct	0.989	-3.327	
H7	24_MST1038 _3uL_  Qty or ID	Unknown	24	0.0701	No Ct	No Ct	0.989	-3.327	
H8	24_MST1038 _3uL_  Qty or ID	Unknown	24	0.0701	No Ct	No Ct	0.989	-3.327	
H9	24_MST1038 _3uL_  Qty or ID	Unknown	24	0.0701	No Ct	No Ct	0.989	-3.327	
A10	25_MST2021-043 _3uL_  Qty or ID	Unknown	25	0.0701	No Ct	No Ct	0.989	-3.327	
A11	25_MST2021-043 _3uL_  Qty or ID	Unknown	25	0.0701	No Ct	No Ct	0.989	-3.327	
A12	25_MST2021-043 _3uL_  Qty or ID	Unknown	25	0.0701	No Ct	No Ct	0.989	-3.327	
B10	26_MST2021-076 _3uL_  Qty or ID	Unknown	26	0.0701	No Ct	No Ct	0.989	-3.327	
B11	26_MST2021-076 _3uL_  Qty or ID	Unknown	26	0.0701	No Ct	No Ct	0.989	-3.327	
B12	26_MST2021-076 _3uL_  Qty or ID	Unknown	26	0.0701	No Ct	No Ct	0.989	-3.327	
C10	27_MST2021-029 _3uL_  Qty or ID	Unknown	27	0.0701	No Ct	No Ct	0.989	-3.327	
C11	27_MST2021-029 _3uL_  Qty or ID	Unknown	27	0.0701	No Ct	No Ct	0.989	-3.327	
C12	27_MST2021-029 _3uL_  Qty or ID	Unknown	27	0.0701	No Ct	No Ct	0.989	-3.327	
D10	28_MST2021-083 _3uL_  Qty or ID	Unknown	28	0.0701	No Ct	No Ct	0.989	-3.327	
D11	28_MST2021-083 _3uL_  Qty or ID	Unknown	28	0.0701	No Ct	No Ct	0.989	-3.327	
D12	28_MST2021-083 _3uL_  Qty or ID	Unknown	28	0.0701	No Ct	No Ct	0.989	-3.327	
E10	29_MST2021-006 _3uL_  Qty or ID	Unknown	29	0.0701	No Ct	No Ct	0.989	-3.327	
E11	29_MST2021-006 _3uL_  Qty or ID	Unknown	29	0.0701	No Ct	No Ct	0.989	-3.327	
